PO_Number,Vendor,Amount,Date,Status,Description
PO-00001,Delta Logistics,222.55,2025-10-09,Open,Freight Services
PO-00002,Theta Manufacturing,783.74,2025-10-04,Open,Cloud Services
PO-00003,Gamma Solutions,2993.41,2025-10-02,Open,Website Development
PO-00004,Gamma Solutions,1171.33,2025-10-17,Open,Data Analytics
PO-00005,Acme Corp,2850.1,2025-10-23,Open,Cloud Services
PO-00006,Xi Construction,1180.16,2025-10-19,Open,Software License
PO-00007,Acme Corp,3818.16,2025-10-06,Open,Training Session
PO-00008,Lambda Services,1461.57,2025-10-07,Open,Hardware Purchase
PO-00009,Delta Logistics,554.45,2025-10-04,Open,Hardware Purchase
PO-00010,Mu Design,3058.26,2025-10-26,Open,Website Development
PO-00011,Omicron Financial,2727.52,2025-10-30,Open,Training Session
PO-00012,Gamma Solutions,2805.0,2025-10-27,Open,Data Analytics
PO-00013,Mu Design,2929.03,2025-10-23,Open,Consulting Services
PO-00014,Beta Industries,3340.19,2025-10-25,Open,Software License
PO-00015,Gamma Solutions,4291.06,2025-10-28,Open,Consulting Services
PO-00016,Nu Healthcare,1462.07,2025-10-21,Open,Hardware Purchase
PO-00017,Zeta Partners,1913.89,2025-10-07,Open,Software License
PO-00018,Gamma Solutions,3084.74,2025-10-06,Open,Cloud Services
PO-00019,Theta Manufacturing,900.67,2025-10-13,Open,Software License
PO-00020,Sigma Systems,1176.11,2025-10-11,Open,Website Development
PO-00021,Theta Manufacturing,4126.83,2025-10-26,Open,Hardware Purchase
PO-00022,Nu Healthcare,1411.93,2025-10-07,Open,Data Analytics
PO-00023,Lambda Services,1141.87,2025-10-16,Open,Training Session
PO-00024,Omicron Financial,800.07,2025-10-05,Open,Freight Services
PO-00025,Sigma Systems,2740.99,2025-10-24,Open,Data Analytics
PO-00026,Xi Construction,4499.33,2025-10-13,Open,Hardware Purchase
PO-00027,Theta Manufacturing,4986.9,2025-10-05,Open,Cloud Services
PO-00028,Pi Trading,545.46,2025-10-02,Open,Consulting Services
PO-00029,Epsilon Tech,3174.49,2025-10-26,Open,Training Session
PO-00030,Phi Software,411.29,2025-10-13,Open,Data Analytics
PO-00031,Omicron Financial,2692.66,2025-10-18,Open,Website Development
PO-00032,Delta Logistics,3440.38,2025-10-18,Open,Software License
PO-00033,Lambda Services,646.61,2025-10-14,Open,IT Support
PO-00034,Omicron Financial,115.9,2025-10-24,Open,Software License
PO-00035,Rho Marketing,3833.61,2025-10-17,Open,Consulting Services
PO-00036,Kappa Corp,4224.18,2025-10-17,Open,Data Analytics
PO-00037,Eta Systems,848.91,2025-10-25,Open,IT Support
PO-00038,Sigma Systems,4772.15,2025-10-30,Open,Cloud Services
PO-00039,Acme Corp,3034.83,2025-10-16,Open,Website Development
PO-00040,Delta Logistics,4652.58,2025-10-29,Open,Software License
PO-00041,Theta Manufacturing,383.83,2025-10-29,Open,Data Analytics
PO-00042,Gamma Solutions,519.7,2025-10-16,Open,Consulting Services
PO-00043,Sigma Systems,3852.59,2025-10-05,Open,Maintenance Contract
PO-00044,Sigma Systems,909.12,2025-10-17,Open,Data Analytics
PO-00045,Xi Construction,4825.38,2025-10-30,Open,Cloud Services
PO-00046,Eta Systems,3593.45,2025-10-13,Open,Hardware Purchase
PO-00047,Omicron Financial,4508.11,2025-10-15,Open,Consulting Services
PO-00048,Theta Manufacturing,1201.02,2025-10-11,Open,Website Development
PO-00049,Tau Textiles,2814.22,2025-10-19,Open,Freight Services
PO-00050,Acme Corp,447.87,2025-10-21,Open,Website Development
